Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1786827094,20,,Aggregated,11.700000,0.000000,74,100,130,150,240,340,480,580,1100,1300,1300,1959,0,74,114.37490034820878,17.906041932292283,1324.614292010665,3208.0689127105666
1786827095,20,,Aggregated,11.500000,0.000000,74,100,130,150,240,340,480,580,1100,1300,1300,1970,0,74,114.52958000827401,17.906041932292283,1324.614292010665,3213.765989847716
1786827096,20,,Aggregated,11.300000,0.000000,74,100,130,150,240,340,480,580,1100,1300,1300,1982,0,74,114.19209207485193,17.906041932292283,1324.614292010665,3214.5247225025228
1786827097,20,,Aggregated,11.100000,0.000000,73,100,130,150,240,340,480,580,1100,1300,1300,1995,0,73,113.85844558790177,17.906041932292283,1324.614292010665,3216.928320802005
1786827098,20,,Aggregated,10.900000,0.000000,73,100,130,150,240,340,480,570,1100,1300,1300,2001,0,73,113.79695010242582,17.906041932292283,1324.614292010665,3230.9710144927535
1786827099,20,,Aggregated,11.100000,0.000000,73,100,130,150,230,340,480,570,1100,1300,1300,2014,0,73,113.43273476718545,17.906041932292283,1324.614292010665,3242.187189672294
1786827100,20,,Aggregated,10.900000,0.000000,73,100,130,150,230,340,480,570,1100,1300,1300,2027,0,73,113.13791141891691,17.906041932292283,1324.614292010665,3236.2757770103603
1786827101,20,,Aggregated,10.700000,0.000000,73,100,130,150,230,340,480,570,1100,1300,1300,2035,0,73,112.86966887220319,17.906041932292283,1324.614292010665,3232.913022113022
1786827102,20,,Aggregated,11.500000,0.000000,73,100,130,150,230,330,480,570,1100,1300,1300,2048,0,73,112.65337808583809,17.906041932292283,1324.614292010665,3240.02001953125
1786827103,20,,Aggregated,11.200000,0.000000,73,100,130,150,230,330,480,570,1100,1300,1300,2058,0,73,112.34597652705713,17.906041932292283,1324.614292010665,3239.15889212828
1786827104,20,,Aggregated,10.900000,0.000000,73,99,130,140,230,330,480,570,1100,1300,1300,2072,0,73,111.9920730698246,17.906041932292283,1324.614292010665,3235.0921814671815
1786827105,20,,Aggregated,10.800000,0.000000,73,99,130,140,230,330,480,570,1100,1300,1300,2086,0,73,111.72707845089235,17.906041932292283,1324.614292010665,3237.4165867689358
1786827106,20,,Aggregated,11.200000,0.000000,73,99,130,140,230,330,480,570,1100,1300,1300,2097,0,73,111.450017059491,17.906041932292283,1324.614292010665,3226.6366237482116
1786827107,20,,Aggregated,11.100000,0.000000,73,99,130,140,230,330,480,570,1100,1300,1300,2113,0,73,111.27076194089626,17.906041932292283,1324.614292010665,3226.1424514907712
1786827108,20,,Aggregated,11.500000,0.000000,72,98,130,140,230,330,480,570,1100,1300,1300,2121,0,72,111.01757833387927,17.347624991089106,1324.614292010665,3226.659594530882
1786827109,20,,Aggregated,11.800000,0.000000,72,97,130,140,220,330,480,570,1100,1300,1300,2135,0,72,110.59680188525101,17.20545894932002,1324.614292010665,3222.5700234192036
1786827110,20,,Aggregated,11.800000,0.000000,72,97,130,140,220,330,480,570,1100,1300,1300,2146,0,72,110.35781802426423,17.20545894932002,1324.614292010665,3228.4291705498604
1786827111,20,,Aggregated,12.000000,0.000000,72,97,130,140,220,330,480,570,1100,1300,1300,2158,0,72,110.07290941652728,17.20545894932002,1324.614292010665,3229.2669138090823
1786827112,20,,Aggregated,11.600000,0.000000,72,97,120,140,220,330,480,570,1100,1300,1300,2171,0,72,109.76767719335912,17.20545894932002,1324.614292010665,3220.559649930907
1786827113,20,,Aggregated,11.800000,0.000000,72,96,120,140,220,330,480,570,1100,1300,1300,2180,0,72,109.46866419126809,17.20545894932002,1324.614292010665,3216.3477064220183
1786827114,20,,Aggregated,12.200000,0.000000,71,96,120,140,220,330,480,570,1100,1300,1300,2187,0,71,109.2878691802056,17.20545894932002,1324.614292010665,3216.245084590764
1786827115,20,,Aggregated,12.600000,0.000000,72,96,120,140,220,320,470,560,1100,1300,1300,2203,0,72,109.07610539623624,17.20545894932002,1324.614292010665,3217.0494779845667
1786827116,20,,Aggregated,11.500000,0.000000,71,96,120,140,220,320,470,560,1100,1300,1300,2209,0,71,108.99772350885051,17.20545894932002,1324.614292010665,3218.3268447261203
1786827117,20,,Aggregated,11.800000,0.000000,71,95,120,140,220,320,470,560,1100,1300,1300,2222,0,71,108.80277997611466,17.20545894932002,1324.614292010665,3207.9351935193517
1786827118,20,,Aggregated,11.600000,0.000000,72,96,120,140,220,320,480,560,1100,1300,1300,2232,0,71,108.9693267911499,17.20545894932002,1324.614292010665,3216.8445340501794
1786827119,20,,Aggregated,11.200000,0.000000,71,95,120,140,220,320,480,560,1100,1300,1300,2243,0,71,108.70209458275568,17.20545894932002,1324.614292010665,3218.350423539902
1786827120,20,,Aggregated,11.500000,0.000000,71,95,120,140,220,320,470,560,1100,1300,1300,2253,0,71,108.49726987397898,17.20545894932002,1324.614292010665,3215.9600532623167
1786827121,20,,Aggregated,10.900000,0.000000,71,95,120,140,220,320,470,560,1100,1300,1300,2262,0,71,108.3097086410729,17.20545894932002,1324.614292010665,3214.889478337754
1786827122,20,,Aggregated,10.800000,0.000000,71,95,120,140,220,320,470,560,1100,1300,1300,2277,0,71,108.15534308001801,17.20545894932002,1324.614292010665,3216.353096179183
1786827123,20,,Aggregated,11.000000,0.000000,71,95,120,140,220,320,470,560,1100,1300,1300,2285,0,71,107.94604020137177,17.20545894932002,1324.614292010665,3220.5824945295403
1786827124,20,,Aggregated,10.300000,0.000000,71,95,120,140,220,320,470,560,1100,1300,1300,2297,0,71,107.82140267485389,17.20545894932002,1324.614292010665,3232.158032215934
1786827125,20,,Aggregated,10.200000,0.000000,71,95,120,140,220,320,470,560,1100,1300,1300,2311,0,71,107.52203475470542,17.20545894932002,1324.614292010665,3230.8083080917354
1786827126,20,,Aggregated,10.700000,0.000000,71,95,120,140,220,320,470,560,1100,1300,1300,2322,0,71,107.42651459918991,17.20545894932002,1324.614292010665,3226.719207579673
1786827127,20,,Aggregated,10.700000,0.000000,71,94,120,140,220,320,470,560,1100,1300,1300,2332,0,71,107.22139051890338,17.20545894932002,1324.614292010665,3221.428387650086
1786827128,20,,Aggregated,10.700000,0.000000,71,94,120,140,220,320,470,560,1100,1300,1300,2349,0,71,106.82210138274961,17.20545894932002,1324.614292010665,3214.623669646658
